#n_process n_thread p t_seq t_parallel
1 1 1 27.178301 27.178301
1 1 1 27.178301 21.652240
2 1 2 27.178301 11.302983
3 1 3 27.178301
4 1 4 27.178301 6.586773
5 1 5 27.178301 5.554934
6 1 6 27.178301
0 1 0 27.178301 4.255697
