#n_thread t_seq t_parallel
1 29.100443 29.100443
2 29.100443 16.303946
3 29.100443 10.934226
4 29.100443 8.337487
5 29.100443 7.092830
6 29.100443 5.988507
7 29.100443 5.334714
8 29.100443 4.606159
9 29.100443 4.371063
10 29.100443 4.061035
11 29.100443 3.759983
12 29.100443 3.466256
13 29.100443 3.508689
14 29.100443 3.388182
15 29.100443 3.291393
16 29.100443 3.236213
17 29.100443 3.299753
18 29.100443 3.180700
19 29.100443 3.217527
20 29.100443 3.053804
21 29.100443 3.052171
22 29.100443 3.022296
23 29.100443 2.889538
24 29.100443 3.012572
25 29.100443 2.986870
26 29.100443 2.905682
27 29.100443 2.774902
28 29.100443 2.684903
29 29.100443 2.690921
30 29.100443 2.670279
31 29.100443 2.613229
32 29.100443 2.585470
33 29.100443 2.594978
34 29.100443 2.434158
35 29.100443 2.459695
36 29.100443 2.459473
37 29.100443 2.600867
38 29.100443 2.319744
39 29.100443 2.311563
40 29.100443 2.315725
41 29.100443 2.237179
42 29.100443 2.198029
43 29.100443 2.180370
44 29.100443 2.142342
45 29.100443 2.245346
46 29.100443 2.069557
47 29.100443 2.051630
48 29.100443 1.988982
