#n_thread t_seq t_parallel
1 26.833140 26.833140
2 26.833140 16.016790
3 26.833140 10.745521
4 26.833140 8.483498
5 26.833140 6.396818
6 26.833140 6.102841
7 26.833140 4.973836
8 26.833140 4.648364
9 26.833140 4.467666
10 26.833140 3.768549
11 26.833140 3.671261
12 26.833140 3.545754
13 26.833140 3.319086
14 26.833140 3.373180
15 26.833140 3.326464
16 26.833140 3.217365
17 26.833140 3.186705
18 26.833140 3.259339
19 26.833140 3.215893
20 26.833140 2.870752
21 26.833140 3.055688
22 26.833140 3.072714
23 26.833140 2.914569
24 26.833140 3.011785
25 26.833140 3.017603
26 26.833140 2.950120
27 26.833140 2.839645
28 26.833140 2.800121
29 26.833140 2.772239
30 26.833140 2.649070
31 26.833140 2.672441
32 26.833140 2.682071
33 26.833140 2.571208
34 26.833140 2.508672
35 26.833140 2.510232
36 26.833140 2.503690
37 26.833140 2.444817
38 26.833140 2.465386
39 26.833140 2.374284
40 26.833140 2.318040
41 26.833140 2.505456
42 26.833140 2.366712
43 26.833140 2.343193
44 26.833140 2.285788
45 26.833140 2.190100
46 26.833140 2.122263
47 26.833140 2.194297
48 26.833140 2.167951
