#n_thread t_seq t_parallel
1 27.294916 27.294916
2 27.294916 15.011465
3 27.294916 10.171879
4 27.294916 8.003864
5 27.294916 6.810889
6 27.294916 5.851774
7 27.294916 4.808596
8 27.294916 4.349578
9 27.294916 4.067770
10 27.294916 3.590388
11 27.294916 3.374919
12 27.294916 3.275436
13 27.294916 3.093919
14 27.294916 2.911384
15 27.294916 3.031028
16 27.294916 3.013461
17 27.294916 3.137940
18 27.294916 3.183488
19 27.294916 3.068083
20 27.294916 3.037466
21 27.294916 3.089308
22 27.294916 2.767305
23 27.294916 2.693393
24 27.294916 2.662037
25 27.294916 2.758002
26 27.294916 2.615749
27 27.294916 2.483263
28 27.294916 2.464383
29 27.294916 2.399954
30 27.294916 2.340357
31 27.294916 2.434559
32 27.294916 2.278367
33 27.294916 2.285978
34 27.294916 2.215649
35 27.294916 2.121061
36 27.294916 2.144871
37 27.294916 1.977480
38 27.294916 1.965335
39 27.294916 1.976718
40 27.294916 1.924201
41 27.294916 1.915662
42 27.294916 1.915551
43 27.294916 1.836865
44 27.294916 1.824643
45 27.294916 1.761052
46 27.294916 1.792344
47 27.294916 1.800632
48 27.294916 1.794667
