#n_process n_thread p t_seq t_parallel
1 1 1 27.585385 27.585385
1 1 1 27.585385 20.620386
1 2 2 27.585385 10.606139
1 3 3 27.585385 6.179579
1 4 4 27.585385 5.298858
1 5 5 27.585385 4.423990
1 6 6 27.585385 3.093190
2 1 2 27.585385 10.956437
2 2 4 27.585385 5.770853
2 3 6 27.585385 3.988356
2 4 8 27.585385 2.958627
2 5 10 27.585385 2.954187
2 6 12 27.585385 2.450327
3 1 3 27.585385
3 2 6 27.585385
3 3 9 27.585385
3 4 12 27.585385
3 5 15 27.585385
3 6 18 27.585385
4 1 4 27.585385 6.204340
4 2 8 27.585385 3.687852
4 3 12 27.585385 2.545766
4 4 16 27.585385 2.309484
4 5 20 27.585385 1.895271
4 6 24 27.585385 1.781251
5 1 5 27.585385 5.450050
5 2 10 27.585385 3.281131
5 3 15 27.585385 2.669800
5 4 20 27.585385 2.257506
5 5 25 27.585385 2.057880
5 6 30 27.585385 2.052912
6 1 6 27.585385
6 2 12 27.585385
6 3 18 27.585385
6 4 24 27.585385
6 5 30 27.585385
6 6 36 27.585385
10 6 60 27.585385 2.454253
