#n_process n_thread p t_seq t_parallel
1 1 1 24.934593 24.934593
1 1 1 24.934593 19.556489
2 1 2 24.934593 10.785627
3 1 3 24.934593 8.005127
4 1 4 24.934593 6.452446
5 1 5 24.934593 5.808910
6 1 6 24.934593 5.265652
0 1 0 24.934593 4.377229
