#n_thread t_seq t_parallel
1 27.222636 27.222636
2 27.222636 14.983944
3 27.222636 10.106339
4 27.222636 7.686422
5 27.222636 6.343406
6 27.222636 5.477418
7 27.222636 4.870561
8 27.222636 4.343222
9 27.222636 3.940910
10 27.222636 3.341594
11 27.222636 3.417833
12 27.222636 3.168819
13 27.222636 3.115935
14 27.222636 2.945744
15 27.222636 2.943397
16 27.222636 2.917065
17 27.222636 2.907319
18 27.222636 3.008689
19 27.222636 2.673444
20 27.222636 2.964181
21 27.222636 2.893876
22 27.222636 2.918827
23 27.222636 2.836909
24 27.222636 2.761675
25 27.222636 2.661728
26 27.222636 2.678836
27 27.222636 2.521389
28 27.222636 2.488086
29 27.222636 2.509883
30 27.222636 2.352429
31 27.222636 2.327106
32 27.222636 2.282674
33 27.222636 2.178579
34 27.222636 2.209653
35 27.222636 2.225527
36 27.222636 2.278551
37 27.222636 2.067176
38 27.222636 2.121408
39 27.222636 2.031278
40 27.222636 1.987659
41 27.222636 2.151486
42 27.222636 1.992732
43 27.222636 2.198980
44 27.222636 1.946570
45 27.222636 2.047661
46 27.222636 1.872369
47 27.222636 2.095407
48 27.222636 2.010794
