nparticles T_FINAL n_threads duration 

1500 1.000000 1 2.663544 
1500 1.000000 2 1.652488 
1500 1.000000 3 1.073794 
1500 1.000000 4 0.862256 
1500 1.000000 5 0.821239 
1500 1.000000 6 0.850550 
1500 1.000000 7 0.891196 
1500 1.000000 8 0.885784 

1500 1.000000 1 2.550681 
1500 1.000000 2 1.387216 
1500 1.000000 3 0.978852 
1500 1.000000 4 0.760932 
1500 1.000000 5 1.160493 
1500 1.000000 6 1.047424 
1500 1.000000 7 0.922662 
1500 1.000000 8 0.867951 
