#n_thread t_seq t_parallel
1 26.928539 26.928539
2 26.928539 16.192977
3 26.928539 10.895584
4 26.928539 8.434498
5 26.928539 6.458765
6 26.928539 5.947901
7 26.928539 5.103959
8 26.928539 4.757730
9 26.928539 4.287570
10 26.928539 3.832602
11 26.928539 3.711334
12 26.928539 3.508109
13 26.928539 3.591356
14 26.928539 3.427183
15 26.928539 3.202826
16 26.928539 3.226521
17 26.928539 3.192637
18 26.928539 3.149360
19 26.928539 3.076808
20 26.928539 3.156193
21 26.928539 3.065562
22 26.928539 3.154411
23 26.928539 3.024341
24 26.928539 3.002329
25 26.928539 2.930550
26 26.928539 3.052348
27 26.928539 2.925224
28 26.928539 2.785868
29 26.928539 2.862841
30 26.928539 2.801310
31 26.928539 2.737074
32 26.928539 2.783194
33 26.928539 2.586651
34 26.928539 2.652512
35 26.928539 2.551835
36 26.928539 2.552671
37 26.928539 2.598739
38 26.928539 2.501532
39 26.928539 2.340358
40 26.928539 2.389702
41 26.928539 2.304317
42 26.928539 2.460088
43 26.928539 2.367999
44 26.928539 2.308525
45 26.928539 2.345834
46 26.928539 2.362782
47 26.928539 2.256199
48 26.928539 2.272381
