#n_process n_thread p t_seq t_parallel
1 1 1 25.377206 25.377206
1 1 1 25.377206 19.843070
1 2 2 25.377206 9.941666
1 3 3 25.377206 6.192714
1 4 4 25.377206
1 5 5 25.377206 3.788387
1 6 6 25.377206 2.981274
2 1 2 25.377206
2 2 4 25.377206
2 3 6 25.377206 3.695375
2 4 8 25.377206 2.774463
2 5 10 25.377206 2.554596
2 6 12 25.377206 2.025525
3 1 3 25.377206 6.987061
3 2 6 25.377206 3.866205
3 3 9 25.377206 2.731662
3 4 12 25.377206 2.241020
3 5 15 25.377206 1.791819
3 6 18 25.377206 1.744292
4 1 4 25.377206 5.648301
4 2 8 25.377206 2.949241
4 3 12 25.377206 2.099972
4 4 16 25.377206 1.846144
4 5 20 25.377206 1.607260
4 6 24 25.377206 1.455605
5 1 5 25.377206 4.597738
5 2 10 25.377206 2.605968
5 3 15 25.377206 1.938429
5 4 20 25.377206 1.617983
5 5 25 25.377206 1.457997
5 6 30 25.377206 1.145462
6 1 6 25.377206 3.922649
6 2 12 25.377206 2.333548
6 3 18 25.377206 1.792299
6 4 24 25.377206 1.487839
6 5 30 25.377206 1.376045
6 6 36 25.377206 1.275703
10 6 60 25.377206 1.321092
