#n_thread t_seq t_parallel
1 29.247401 29.247401
2 29.247401 16.485903
3 29.247401 11.102529
4 29.247401 8.361331
5 29.247401 7.089026
6 29.247401 6.111833
7 29.247401 5.095262
8 29.247401 4.959006
9 29.247401 4.040991
10 29.247401 3.996746
11 29.247401 3.726248
12 29.247401 3.624814
13 29.247401 3.242033
14 29.247401 3.314906
15 29.247401 3.267780
16 29.247401 3.139757
17 29.247401 3.221469
18 29.247401 3.265986
19 29.247401 3.210512
20 29.247401 3.194728
21 29.247401 3.120874
22 29.247401 2.984598
23 29.247401 2.752319
24 29.247401 3.010035
25 29.247401 2.907191
26 29.247401 2.946098
27 29.247401 2.900395
28 29.247401 2.864813
29 29.247401 2.870768
30 29.247401 2.728235
31 29.247401 2.627880
32 29.247401 2.555967
33 29.247401 2.487059
34 29.247401 2.535749
35 29.247401 2.410375
36 29.247401 2.584528
37 29.247401 2.318918
38 29.247401 2.491233
39 29.247401 2.282902
40 29.247401 2.228722
41 29.247401 2.503272
42 29.247401 2.284791
43 29.247401 2.268132
44 29.247401 2.507872
45 29.247401 2.092026
46 29.247401 2.031899
47 29.247401 2.053055
48 29.247401 1.972782
